FULL_NAME,BIRTHDAY,KS,IDENTIFY
Lưu Văn Thạnh,05101949,03TTT 216HH 11561,3249384319
Trần Ngọc Bảo Nhi,10081930,23TTT 077HH 7899,23230015096
Lưu Thị Hằng,27081918,28TTT 171HH 18821,28318605352
Nguyễn Tuấn Hoa,24081960,50TTT 172HH 14639,50360286931
Đặng Văn Thu,30101974,46TTT 118HH 19803,46374841911
Lưu Thị Thanh Tuân,22111959,56TTT 237HH 13299,56259104577
Nguyễn Anh Hiên,11061994,15TTT 160HH 12339,15294428862
Vũ Thị Phương Phương,02101951,23TTT 008HH 11270,23251876887
Vũ Hữu Tú,04041992,15TTT 140HH 8033,15292671389
Hồ Ngọc Hạnh,14071930,38TTT 057HH 6186,38230943119
Vương Thị Thái,21021975,15TTT 039HH 3163,15275541197
Cung Công Tản,13032016,44TTT 232HH 15695,44016381056
Nguyễn Văn Tuấn,03021944,09TTT 073HH 16145,9344425015
Nguyễn Thanh Trang,06061935,58TTT 221HH 1887,58335796534
Lê Lê Trường Nhi,31111983,50TTT 251HH 1872,50383862641
Nguyễn Ngọc Linh,16081904,51TTT 040HH 14096,51304840962
Trịnh Lê Việt Hòa,17011947,31TTT 245HH 11696,31347988365
Lưu Minh Linh,06011983,25TTT 244HH 17302,25383524525
Lê Minh Khôi,01071937,14TTT 223HH 7390,14237707210
Phan Phương Anh,20031963,18TTT 221HH 17440,18263830936
Kiều Văn Hoa,23121992,38TTT 087HH 14674,38292916039
Nguyễn Thị Bàng,14021991,36TTT 032HH 3606,36391007907
Nguyễn Thị Ngọc Phúc,24052001,30TTT 086HH 19480,30101665449
Đinh Thị Hiệp,08031919,03TTT 226HH 15342,3319499787
Đinh Hiền Tùng,20121964,63TTT 085HH 2407,63364385460
Vương Vũ Quỳnh Đức,20031927,07TTT 135HH 4667,7227870726
Phạm Tuấn Tình,21111982,39TTT 179HH 10308,39282301580
Trương Vân Hạnh,03082010,17TTT 074HH 12642,17110336910
,21101938,59TTT 030HH 3405,59238235438
Đỗ Thị Thanh Linh,20121980,28TTT 134HH 2145,28380972582
Trần Thị Tên,22091993,04TTT 163HH 10635,4293887489
Nguyễn Đức Hồng,19081950,24TTT 061HH 5607,24350795344
Nguyễn Thu Mạnh,01121902,01TTT 213HH 2211,1302915417
Lê Thị Thu Phong,03081967,60TTT 131HH 19981,60367400534
Đỗ Thị Kim Hoài,13041971,61TTT 197HH 16797,61271529502
Nguyễn Thị Vân,27062017,54TTT 245HH 10634,54017652371
Trịnh Hoài Hà,02032016,59TTT 049HH 1081,59116242934
Phạm Anh Thau,25051901,30TTT 038HH 15278,30201608388
Nguyễn Thùy Hương,13041984,64TTT 079HH 15071,64384356825
Nguyễn Xuân Thương,30061960,28TTT 018HH 72,28260063062
Nguyễn Thị Hưng,18022011,01TTT 259HH 5727,1111838941
Nguyễn Nguyễn Loan Hường,23121919,50TTT 192HH 13922,50219834601
Nguyễn Thị Tuấn,26041988,48TTT 253HH 8618,48388986574
Lỗ Như Vân,04071928,05TTT 095HH 908,5328982212
Nguyễn Thanh Anh Minh,20021945,06TTT 223HH 11217,6345824623
Đỗ Hải Huyền,19101983,57TTT 043HH 6686,57283477518
Trương Hồng Đạt,21071939,21TTT 028HH 11336,21239656874
Nguyễn Linh Hải Sách,20101959,56TTT 145HH 11962,56259422940
Bùi Minh Hoa,15031974,36TTT 114HH 10138,36374008309
Giang Thu Quân,18122012,10TTT 083HH 2334,10112539333
Nguyễn Ngọc Khải Lương,22081968,47TTT 192HH 286,47368878111
Nguyễn Thị Thắm,05071975,19TTT 006HH 9178,19375734995
Dương Văn Huy,16031976,16TTT 033HH 18058,16376934296
Trịnh Mai Hà,30112013,37TTT 131HH 14571,37113255259
Nguyễn Ngọc Duyên,22081922,28TTT 228HH 4290,28322709293
Nnguyễn Tấn Tuấn,14112006,28TTT 110HH 13004,28106088553
Nguyễn Văn Lương,21071937,60TTT 115HH 17891,60337336719
Nguyễn Duy Phương,19071975,04TTT 208HH 4859,4375531018
Phạm Hương Hiền,10101908,55TTT 182HH 7906,55308933980
Nguyễn Thị Thạch,16022009,15TTT 024HH 19656,15009599512
Nguyễn Thị Thùy Lam,04121929,42TTT 109HH 12980,42229409136
Kim Thị Hoà,24071933,26TTT 155HH 7512,26233583738
Đặng Vi Thư,21081997,29TTT 244HH 1786,29397147792
Nguyễn Phạm Phúc Thân,20031936,31TTT 254HH 18878,31336831597
Nguyễn Thị Quảng,12041941,47TTT 207HH 10522,47241935029
Nguyễn Khánh Linh,20032015,27TTT 056HH 12442,27015277267
Nguyễn Long Khánh Linh,29071998,12TTT 003HH 4498,12398336940
Nguyễn Thị Giang,05051916,33TTT 128HH 11668,33316794057
Nguyễn Tuấn Phương,09032007,15TTT 206HH 13532,15007005306
Võ Thị Hải,20111996,16TTT 136HH 1864,16396325714
Nguyễn Thị Quỳnh,29021998,40TTT 043HH 10685,40298514386
Nguyễn Thị Quân,14102016,13TTT 157HH 6382,13116447122
Phạm Huy Nam,16091981,21TTT 243HH 8918,21381980805
Nguyễn Thị Huyền,23061995,48TTT 133HH 11194,48295483219
Nguyễn An Minh,17111923,16TTT 114HH 10819,16223506879
Đại Thành Hà,24051963,57TTT 041HH 13247,57363889449
Trịnh Khánh Tuyết,19041928,04TTT 179HH 19382,4328680499
Nguyễn Văn Nhẫn,27101985,19TTT 053HH 18441,19385836260
Nguyễn Thị Luyên,15041907,49TTT 118HH 169,49307479002
Nguyễn Xuân Tiến,18071966,30TTT 032HH 11755,30366976911
Nguyễn Thị Đức,03011908,46TTT 150HH 16283,46308896235
Trần Văn Hạnh,24101903,24TTT 053HH 9987,24303471172
Nguyễn Thanh Anh Nhi,31091997,12TTT 169HH 6361,12397986941
Hoàng Thị Tuyết Hoa,10051977,37TTT 116HH 5067,37277557001
Nguyễn Văn Lợi,16011987,37TTT 183HH 12420,37387890448
Nguyễn Ngọc Công,10051995,05TTT 226HH 6249,5295943988
Trần Thị Minh Dương,21121921,14TTT 035HH 1450,14321872256
Trần Thị Thảo,22042002,10TTT 246HH 10183,10002414288
Đỗ Ngọc Bảo Hiệu,22101983,61TTT 088HH 8264,61283052428
Nguyễn Thị Hùng,05071946,29TTT 166HH 4355,29246738656
Tạ Viết Đức Trúc,18052000,04TTT 225HH 9966,4000043346
Đào Thị Thu Tình,20022002,54TTT 043HH 14217,54102431955
Nguyễn Văn Dung,24061932,62TTT 238HH 17846,62232081228
Đinh Thanh Takahisa,04121938,04TTT 194HH 9775,4338734698
Nguyễn Minh Thạch,09041972,19TTT 253HH 3888,19372740402
Phạm Thu Linh,05102007,02TTT 242HH 8565,2007877186
Nguyễn Việt Thuý,04111914,60TTT 217HH 4995,60214773177
